img_path
Soybean___healthy/431006f8-c905-4fbd-8589-79c1cd16fdf7___RS_HL 7307.JPG
Corn_(maize)___healthy/9e5babf1-042a-4272-aa78-c29f30041a47___R.S_HL 7910 copy 2.jpg
Orange___Haunglongbing_(Citrus_greening)/8c213aec-1de6-4117-b9a1-2cb2018af6a5___CREC_HLB 5138.JPG
Peach___Bacterial_spot/cde1624d-7727-495d-81ff-ef8216b1a3f9___Rutg._Bact.S 2154.JPG
Corn_(maize)___healthy/88935f3f-d71e-451d-8fd4-ccf4c11ab1c7___R.S_HL 8142 copy.jpg
Corn_(maize)___Common_rust_/RS_Rust 2487.JPG
Tomato___Tomato_Yellow_Leaf_Curl_Virus/111d4096-e9eb-4f32-9a25-f3c19b92c627___YLCV_GCREC 2209.JPG
Tomato___Leaf_Mold/aaa75054-5e35-419b-98f0-ee75a065aa09___Crnl_L.Mold 6534.JPG
Blueberry___healthy/606d8ff3-e334-4735-a182-6ad008dc6edc___RS_HL 0519.JPG
Tomato___Late_blight/c933cfb7-d1c7-420b-88d0-7df28ae6ab2d___GHLB_PS Leaf 36.1 Day 13.jpg
Raspberry___healthy/72f3a2a3-41c8-46ea-9621-c249c4eaf75f___Mary_HL 9290.JPG
Tomato___Spider_mites Two-spotted_spider_mite/03882a7e-b80a-4c12-b4bb-5d03c88a8c4b___Com.G_SpM_FL 8730.JPG
Tomato___Tomato_Yellow_Leaf_Curl_Virus/513e8592-6fca-4084-bd75-cc1b52bf45dd___UF.GRC_YLCV_Lab 02461.JPG
Tomato___Tomato_Yellow_Leaf_Curl_Virus/053d3504-ce55-4fa1-b0e4-742f3fb86973___UF.GRC_YLCV_Lab 01980.JPG
Orange___Haunglongbing_(Citrus_greening)/b585587c-e48a-4661-8cad-328c8739b26f___CREC_HLB 4315.JPG
Orange___Haunglongbing_(Citrus_greening)/07385527-7435-40e3-81d9-36c5c9f7a08a___CREC_HLB 4864.JPG
Corn_(maize)___healthy/00665f92-adb0-41eb-bba7-9eeadecfe10e___R.S_HL 8325 copy 2.jpg
Tomato___Tomato_Yellow_Leaf_Curl_Virus/2970df15-12d6-4ca2-b445-78a7b2cdba0a___UF.GRC_YLCV_Lab 09465.JPG
Peach___Bacterial_spot/e3900e40-f0d8-45c8-9df3-c8b2d8039fe5___Rutg._Bact.S 1434.JPG
Orange___Haunglongbing_(Citrus_greening)/37dd7264-4760-4959-8c0e-757ebde25167___CREC_HLB 6944.JPG
Orange___Haunglongbing_(Citrus_greening)/94e0ea4c-cf92-4794-bf54-de0ef491065d___CREC_HLB 7200.JPG
Corn_(maize)___Northern_Leaf_Blight/b8819a07-cfd6-4884-adb4-065421c7de44___RS_NLB 3859.JPG
Tomato___Bacterial_spot/f05d6f9e-357a-47a5-acf1-fc79d4417b96___GCREC_Bact.Sp 5636.JPG
Strawberry___Leaf_scorch/fdedf2e3-5378-4470-a5cb-d282022cdc22___RS_L.Scorch 1209.JPG
Squash___Powdery_mildew/888c56e2-47c0-4c71-bf83-a80d4349b0d5___MD_Powd.M 0911.JPG
Potato___Late_blight/d7e7afff-cb91-4209-bf42-ce579f273cce___RS_LB 4468.JPG
Grape___Black_rot/f8ce6709-9d70-4f6b-bd18-a63147d4c228___FAM_B.Rot 5043.JPG
Orange___Haunglongbing_(Citrus_greening)/6711e43e-fc1a-47b6-a292-50b7cbe3a17f___UF.Citrus_HLB_Lab 0507.JPG
Corn_(maize)___healthy/799436ad-dbb3-4019-b150-db9e005a03a8___R.S_HL 5502 copy 2.jpg
Corn_(maize)___healthy/2500d247-7e34-424d-b7ec-6eb9c6686ed9___R.S_HL 8112 copy.jpg
Potato___Early_blight/2639ad26-c7e9-4bd6-8000-c002f676a4c6___RS_Early.B 7150.JPG
Corn_(maize)___Northern_Leaf_Blight/2418712a-bebb-45ca-b632-4f0548133221___RS_NLB 3477.JPG
Tomato___Spider_mites Two-spotted_spider_mite/3472596b-2763-4b57-a0af-43c294f7ba93___Com.G_SpM_FL 1575.JPG
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/d3e2528d-3e05-4dc0-bb6b-56dcf17d01d6___RS_GLSp 7316.JPG
Potato___Early_blight/dc0536f7-e777-4751-8733-f643eb18329a___RS_Early.B 7492.JPG
Tomato___Tomato_mosaic_virus/c44f307f-dd40-495d-abfa-e2f68dc31ff6___PSU_CG 2312.JPG
Soybean___healthy/8c262ffd-c816-49dd-be4c-6aa3de02485b___RS_HL 6636.JPG
Apple___healthy/123de292-f902-404e-bfc9-3f248342f418___RS_HL 7542.JPG
Orange___Haunglongbing_(Citrus_greening)/21b58170-ae53-4cde-94fd-cd320e264823___UF.Citrus_HLB_Lab 1257.JPG
Soybean___healthy/90093ea4-d02b-4bed-8c86-7133453f618a___RS_HL 4584.JPG
Tomato___Spider_mites Two-spotted_spider_mite/2305cbc5-4e95-4258-810d-e68e7a58b6f2___Com.G_SpM_FL 1454.JPG
